sample_name	filepath	strand	operation	null_val
DRIPc	output/prep/DRIP/NT2DRIPc_rev.bedgraph	fwd	sum	0
DRIPc	output/prep/DRIP/NT2DRIPc_rev.bedgraph	rev	sum	0
